date,region,store_id,product_category,product_id,product_name,unit_price,units_sold,total_sales,customer_type,marketing_campaign,discount_percentage,customer_satisfaction,temperature,day_of_week,holiday,inventory_level,profit_margin,shipping_cost,vendor_id
2023-01-01,North,102,Electronics,E001,Smartphone X,699.99,12,8399.88,Regular,Yes,5,4.2,28,Sunday,Yes,85,24.5,15.99,V001
2023-01-01,South,201,Home,H043,Coffee Maker,89.99,31,2789.69,Regular,No,0,3.9,35,Sunday,Yes,54,18.2,5.99,V003
2023-01-01,East,304,Clothing,C118,Winter Jacket,129.95,8,1039.60,Premium,Yes,10,4.7,12,Sunday,Yes,42,32.1,0.00,V002
2023-01-01,West,405,Electronics,E015,Bluetooth Speaker,49.99,23,1149.77,Regular,Yes,0,4.1,19,Sunday,Yes,112,22.3,3.99,V005
2023-01-01,North,105,Grocery,G201,Organic Coffee,14.99,47,704.53,Regular,No,0,4.3,27,Sunday,Yes,185,15.6,0.00,V008
2023-01-01,South,204,Electronics,E042,Laptop Pro,1299.99,5,6499.95,Premium,Yes,8,4.6,33,Sunday,Yes,18,21.8,0.00,V001
2023-01-01,East,307,Beauty,B073,Facial Cleanser,24.50,19,465.50,Regular,No,0,3.8,14,Sunday,Yes,63,28.4,2.99,V010
2023-01-01,West,402,Home,H012,Blender,79.95,14,1119.30,Regular,Yes,15,4.4,18,Sunday,Yes,28,19.7,4.99,V003
2023-01-02,North,101,Clothing,C045,Running Shoes,89.99,9,809.91,Regular,No,0,4.0,26,Monday,No,37,26.5,0.00,V002
2023-01-02,South,203,Beauty,B021,Perfume Set,59.99,21,1259.79,Premium,Yes,5,4.5,34,Monday,No,42,32.8,3.99,V010
2023-01-02,East,301,Electronics,E007,Headphones,129.99,17,2209.83,Regular,No,0,4.2,15,Monday,No,56,24.1,3.99,V001
2023-01-02,West,404,Grocery,G105,Premium Chocolate,8.99,63,566.37,Regular,Yes,0,3.9,20,Monday,No,142,18.3,0.00,V008
2023-01-02,North,103,Home,H033,Air Purifier,199.95,6,1199.70,Premium,No,0,4.6,25,Monday,No,18,25.7,9.99,V003
2023-01-02,South,202,Clothing,C087,Dress Shirt,45.50,28,1274.00,Regular,Yes,10,4.0,36,Monday,No,73,21.3,0.00,V002
2023-01-02,East,302,Beauty,B064,Face Mask Set,19.99,42,839.58,Regular,No,5,3.7,13,Monday,No,96,29.5,2.99,V010
2023-01-02,West,401,Electronics,E036,Tablet Mini,349.99,11,3849.89,Premium,Yes,8,4.4,21,Monday,No,22,20.2,0.00,V001
2023-01-03,North,104,Beauty,B012,Moisturizer,29.95,36,1078.20,Regular,No,0,4.1,28,Tuesday,No,58,31.2,0.00,V010
2023-01-03,South,205,Electronics,E022,Smart Watch,199.99,13,2599.87,Premium,Yes,5,4.7,34,Tuesday,No,34,23.6,0.00,V001
2023-01-03,East,305,Grocery,G078,Organic Pasta,4.99,87,434.13,Regular,No,0,3.8,16,Tuesday,No,215,12.8,0.00,V008
2023-01-03,West,403,Clothing,C132,Designer Jeans,89.95,18,1619.10,Regular,Yes,15,4.3,19,Tuesday,No,45,27.9,3.99,V002
2023-01-03,North,105,Home,H051,Robot Vacuum,299.99,7,2099.93,Premium,No,0,4.5,27,Tuesday,No,12,18.4,0.00,V003
2023-01-03,South,201,Beauty,B037,Hair Dryer,49.95,24,1198.80,Regular,Yes,10,3.9,35,Tuesday,No,38,25.3,2.99,V010
2023-01-03,East,303,Electronics,E009,Bluetooth Earbuds,79.99,31,2479.69,Regular,No,0,4.2,14,Tuesday,No,47,22.7,0.00,V001
2023-01-03,West,405,Grocery,G156,Premium Tea,12.99,53,688.47,Regular,Yes,5,4.0,20,Tuesday,No,124,16.8,0.00,V008
2023-01-04,North,102,Clothing,C023,Winter Gloves,24.99,42,1049.58,Regular,No,0,3.8,26,Wednesday,No,83,24.1,0.00,V002
2023-01-04,South,204,Home,H019,Coffee Table,149.95,9,1349.55,Premium,Yes,8,4.6,33,Wednesday,No,21,19.8,15.99,V003
2023-01-04,East,306,Beauty,B048,Makeup Kit,39.99,27,1079.73,Regular,No,5,4.3,15,Wednesday,No,52,30.6,2.99,V010
2023-01-04,West,402,Electronics,E031,Gaming Console,399.99,6,2399.94,Premium,Yes,0,4.7,18,Wednesday,No,14,17.5,0.00,V001
2023-01-04,North,101,Grocery,G092,Specialty Snacks,9.99,68,679.32,Regular,No,0,3.9,28,Wednesday,No,176,14.9,0.00,V008
2023-01-04,South,203,Clothing,C075,Athletic Shorts,34.95,23,803.85,Regular,Yes,10,4.1,36,Wednesday,No,61,23.7,0.00,V002
2023-01-04,East,301,Home,H027,Toaster Oven,69.99,16,1119.84,Regular,No,0,4.0,13,Wednesday,No,32,20.5,4.99,V003
2023-01-04,West,404,Beauty,B059,Skincare Set,89.99,12,1079.88,Premium,Yes,15,4.5,19,Wednesday,No,28,29.8,0.00,V010
2023-01-05,North,103,Electronics,E017,Wireless Charger,29.99,37,1109.63,Regular,No,0,4.2,27,Thursday,No,65,21.9,0.00,V001
2023-01-05,South,202,Grocery,G113,Gourmet Cookies,7.99,82,655.18,Regular,Yes,5,3.8,34,Thursday,No,193,13.4,0.00,V008
2023-01-05,East,304,Clothing,C096,Casual Shirt,39.95,29,1158.55,Regular,No,0,4.0,16,Thursday,No,58,25.6,0.00,V002
2023-01-05,West,401,Home,H038,Stand Mixer,249.99,8,1999.92,Premium,Yes,8,4.7,20,Thursday,No,15,22.3,9.99,V003
2023-01-05,North,105,Beauty,B015,Shampoo Set,19.99,43,859.57,Regular,No,0,3.9,26,Thursday,No,87,27.1,0.00,V010
2023-01-05,South,205,Electronics,E028,Digital Camera,299.95,7,2099.65,Premium,Yes,10,4.5,33,Thursday,No,19,19.8,0.00,V001
2023-01-05,East,307,Grocery,G045,Organic Cereal,6.99,76,531.24,Regular,No,0,4.1,14,Thursday,No,168,15.2,0.00,V008
2023-01-05,West,403,Clothing,C108,Designer Belt,49.99,21,1049.79,Regular,Yes,5,4.3,19,Thursday,No,42,28.4,0.00,V002
2023-01-06,North,104,Home,H007,Kitchen Knife Set,79.95,18,1439.10,Regular,No,0,4.4,25,Friday,No,36,21.7,4.99,V003
2023-01-06,South,201,Beauty,B032,Nail Polish Set,14.99,54,809.46,Regular,Yes,15,3.7,36,Friday,No,112,30.2,0.00,V010
