タイムスタンプ,センサーID,設置場所,温度(℃),湿度(%),気圧(hPa),振動(G),照度(lx),バッテリー残量(%),状態
2025-05-01T00:00:00,SN001,区画A,22.5,45.2,1013.2,0.12,245,92,正常
2025-05-01T00:05:00,SN001,区画A,22.6,45.1,1013.3,0.11,247,92,正常
2025-05-01T00:10:00,SN001,区画A,22.7,45.3,1013.4,0.15,249,91,正常
2025-05-01T00:15:00,SN001,区画A,22.8,45.4,1013.5,0.12,250,91,正常
2025-05-01T00:20:00,SN001,区画A,22.9,45.5,1013.6,0.13,248,91,正常
2025-05-01T00:25:00,SN001,区画A,23.0,45.3,1013.7,0.14,246,91,正常
2025-05-01T00:30:00,SN001,区画A,23.1,45.2,1013.8,0.12,245,90,正常
2025-05-01T00:35:00,SN001,区画A,23.2,45.1,1013.7,0.11,244,90,正常
2025-05-01T00:40:00,SN001,区画A,23.3,45.0,1013.6,0.12,243,90,正常
2025-05-01T00:45:00,SN001,区画A,23.2,44.9,1013.5,0.13,242,90,正常
2025-05-01T00:00:00,SN002,区画B,23.5,48.2,1012.9,0.17,278,95,正常
2025-05-01T00:05:00,SN002,区画B,23.6,48.1,1012.8,0.16,280,95,正常
2025-05-01T00:10:00,SN002,区画B,23.7,48.0,1012.7,0.15,282,94,正常
2025-05-01T00:15:00,SN002,区画B,23.8,47.9,1012.6,0.18,284,94,正常
2025-05-01T00:20:00,SN002,区画B,23.9,47.8,1012.5,0.19,286,94,正常
2025-05-01T00:25:00,SN002,区画B,24.0,47.7,1012.4,0.20,288,93,正常
2025-05-01T00:30:00,SN002,区画B,24.1,47.6,1012.3,0.21,290,93,正常
2025-05-01T00:35:00,SN002,区画B,24.2,47.5,1012.2,0.22,292,93,正常
2025-05-01T00:40:00,SN002,区画B,24.3,47.4,1012.1,0.23,294,92,正常
2025-05-01T00:45:00,SN002,区画B,24.4,47.3,1012.0,0.24,296,92,正常
2025-05-01T00:00:00,SN003,区画C,21.5,52.3,1014.1,0.08,190,98,正常
2025-05-01T00:05:00,SN003,区画C,21.6,52.4,1014.2,0.09,192,98,正常
2025-05-01T00:10:00,SN003,区画C,21.7,52.5,1014.3,0.10,194,98,正常
2025-05-01T00:15:00,SN003,区画C,21.8,52.6,1014.4,0.09,196,97,正常
2025-05-01T00:20:00,SN003,区画C,21.9,52.7,1014.5,0.08,198,97,正常
2025-05-01T00:25:00,SN003,区画C,22.0,52.8,1014.6,0.07,200,97,正常
2025-05-01T00:30:00,SN003,区画C,22.1,52.9,1014.7,0.06,202,97,正常
2025-05-01T00:35:00,SN003,区画C,22.2,53.0,1014.8,0.05,204,96,正常
2025-05-01T00:40:00,SN003,区画C,22.3,53.1,1014.9,0.04,206,96,正常
2025-05-01T00:45:00,SN003,区画C,22.4,53.2,1015.0,0.03,208,96,正常
2025-05-01T01:00:00,SN001,区画A,23.3,44.8,1013.4,0.16,240,89,正常
2025-05-01T01:15:00,SN001,区画A,23.4,44.7,1013.3,0.17,238,89,正常
2025-05-01T01:30:00,SN001,区画A,23.5,44.6,1013.2,0.18,236,88,正常
2025-05-01T01:45:00,SN001,区画A,23.6,44.5,1013.1,0.19,234,88,正常
2025-05-01T01:00:00,SN002,区画B,24.5,47.2,1011.9,0.25,298,92,正常
2025-05-01T01:15:00,SN002,区画B,24.6,47.1,1011.8,0.26,300,91,正常
